City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kenai,60.5544,-151.2583,17.79,52,0,4.63,US,1724638712
83,port alfred,-33.5906,26.891,15.59,67,23,4.56,ZA,1724638714
84,georgetown,5.4112,100.3354,26.96,88,40,2.06,MY,1724638715
85,cururupu,-1.8283,-44.8683,22.65,92,73,0.7,BR,1724638716
86,laojunmiao,39.8333,97.7333,18.3,70,81,5.48,CN,1724638717
87,qaqortoq,60.7167,-46.0333,2.98,95,33,1.34,GL,1724638718
88,filey,54.21,-0.2892,14.47,82,18,2.68,GB,1724638719
89,sinjai,-5.1241,120.253,28.34,71,63,3.7,ID,1724638720
90,mount isa,-20.7333,139.5,33.87,18,0,3.09,AU,1724638721
91,coquimbo,-29.9533,-71.3436,11.85,90,100,2.57,CL,1724638723
92,ribeira grande,38.5167,-28.7,24.32,92,18,2.24,PT,1724638724
93,olean,42.0776,-78.4297,19.19,68,0,0.0,US,1724638511
94,conduaga,8.862,117.4893,25.24,94,100,3.71,PH,1724638726
95,babaita,44.1667,25.3833,21.37,65,4,3.3,RO,1724638727
96,angaur state,6.906,134.13,28.62,73,65,2.09,PW,1724638728
97,saint-pierre,-21.3393,55.4781,16.82,63,0,3.09,RE,1724638730
98,micheweni,-4.9667,39.8333,24.04,84,89,3.46,TZ,1724638732
99,puerto ayora,-0.7393,-90.3518,19.19,95,38,3.61,EC,1724638733
100,bardai,11.65,7.2333,21.69,96,100,6.93,NG,1724638734
101,uturoa,-16.7333,-151.4333,24.37,76,94,11.89,PF,1724638735
102,borisoglebsk,51.3671,42.0849,16.59,70,0,2.97,RU,1724638736
103,sucre,-19.0333,-65.2627,5.6,69,30,2.0,BO,1724638737
104,minas de marcona,-15.2119,-75.1103,11.42,80,2,4.44,PE,1724638738
105,ilulissat,69.2167,-51.1,4.01,100,100,1.54,GL,1724638739
106,zhanaozen,43.3,52.8,22.04,32,73,6.37,KZ,1724638741
107,troitsko-pechorsk,62.7084,56.1964,10.66,97,7,1.97,RU,1724638742
108,okha,53.5739,142.9478,18.31,61,100,6.77,RU,1724638743
109,olinda,-8.0089,-34.8553,24.85,73,40,4.63,BR,1724638721
110,punta arenas,-53.15,-70.9167,4.06,100,100,2.06,CL,1724638174
111,okhotsk,59.3833,143.3,16.59,76,100,4.99,RU,1724638747
112,sola,-13.8833,167.55,25.06,73,27,9.2,VU,1724638749
113,bredasdorp,-34.5322,20.0403,8.83,71,10,3.83,ZA,1724638750
114,bamboo flat,11.7,92.7167,27.05,78,40,4.12,IN,1724638751
115,kodiak,57.79,-152.4072,16.73,36,0,5.66,US,1724638752
116,santa rosa misiones,-26.8667,-56.85,6.79,75,0,1.85,PY,1724638753
117,albany,42.6001,-73.9662,20.44,87,6,1.48,US,1724638684
118,ishinomaki,38.4167,141.3,27.64,79,79,3.77,JP,1724638755
119,sarai,53.7458,41.0213,16.7,70,0,0.9,RU,1724638757
120,elkins,38.9259,-79.8467,19.18,95,0,0.0,US,1724638466
121,olonkinbyen,70.9221,-8.7187,2.35,95,100,11.34,SJ,1724638759
122,san patricio,28.017,-97.5169,29.97,63,1,5.51,US,1724638760
123,east london,-33.0153,27.9116,15.4,65,14,3.27,ZA,1724638761
124,thunder bay,48.4001,-89.3168,19.99,88,75,3.6,CA,1724638762
125,pikeville,37.4793,-82.5188,21.36,99,0,0.45,US,1724638484
126,nagqu,31.5,92.0,10.2,53,10,3.41,CN,1724638764
127,afaahiti,-17.75,-149.2833,21.7,77,100,10.89,PF,1724638766
128,dubinino,55.6192,89.0911,14.25,80,91,6.41,RU,1724638767
129,saint-paul,-21.0096,55.2707,20.05,73,70,1.25,RE,1724638768
130,fauske,67.2588,15.3918,9.97,77,71,4.52,NO,1724638769
131,fort st. john,56.2499,-120.8529,18.94,45,75,6.69,CA,1724638770
132,northam,51.0333,-4.2167,14.23,95,3,6.5,GB,1724638771
133,bethel,41.3712,-73.414,22.05,83,100,1.54,US,1724638772
134,al kharijah,25.4514,30.5464,30.51,27,14,1.9,EG,1724638774
135,hobyo,5.3505,48.5268,25.21,79,99,8.59,SO,1724638775
136,norak,38.3892,69.3227,24.85,22,0,2.32,TJ,1724638776
137,wokha,26.1,94.2667,22.55,73,14,0.68,IN,1724638779
138,aasiaat,68.7098,-52.8699,2.91,91,100,3.05,GL,1724638780
139,bengkulu,-3.8004,102.2655,27.59,67,29,1.82,ID,1724638782
140,vadso,70.0744,29.7487,13.09,94,100,9.77,NO,1724638783
141,noshiro,40.2039,140.0242,29.46,76,98,2.12,JP,1724638784
142,aioun,16.6614,-9.6149,29.7,61,0,6.13,MR,1724638785
143,uusikaupunki,60.8004,21.4084,14.91,73,0,7.97,FI,1724638786
144,phan rang-thap cham,11.5667,108.9833,27.67,70,100,1.09,VN,1724638751
145,keflavik,64.0049,-22.5624,4.24,93,8,4.12,IS,1724638788
146,taoudenni,22.6783,-3.9836,37.31,27,9,1.96,ML,1724638790
147,olecko,54.0337,22.507,12.64,95,17,3.18,PL,1724638791
148,peniche,39.3558,-9.3811,17.34,93,5,8.29,PT,1724638792
149,magnolia,33.2671,-93.2393,23.82,78,0,1.54,US,1724638794
150,dolores,-36.3132,-57.6792,5.19,80,10,1.81,AR,1724638795
151,aleksandrovsk-sakhalinskiy,50.8975,142.1561,19.56,52,100,1.94,RU,1724638796
152,trincomalee,8.5711,81.2335,27.48,78,79,9.45,LK,1724638798
153,new norfolk,-42.7826,147.0587,15.95,61,43,5.52,AU,1724638799
154,takum,7.2667,9.9833,22.12,96,100,2.59,NG,1724638800
155,poyang,28.9924,116.6675,31.28,70,70,3.0,CN,1724638801
156,sisimiut,66.9395,-53.6735,3.95,93,100,0.23,GL,1724638802
157,acarau,-2.8856,-40.12,25.19,85,100,7.25,BR,1724638803
158,puerto armuelles,8.2833,-82.8667,25.05,90,100,1.34,PA,1724638802
159,uvalde,29.3669,-99.767,29.67,48,75,5.66,US,1724638792
160,malvan,16.0667,73.4667,26.98,85,100,8.75,IN,1724638808
161,pisco,-13.7,-76.2167,16.12,88,61,4.12,PE,1724638809
162,san antonio de pale,-1.4014,5.6325,23.4,86,100,4.93,GQ,1724638810
163,badger,64.8,-147.5333,12.85,71,75,3.6,US,1724638811
164,tralee,52.2704,-9.7026,13.9,84,100,3.22,IE,1724638812
165,xilin hot,43.9667,116.0333,21.55,41,0,3.66,CN,1724638813
166,mo i rana,66.3128,14.1428,10.74,94,100,1.03,NO,1724638804
167,kerema,-7.9631,145.7785,27.0,81,87,3.87,PG,1724638816
168,polyarnyy,69.1989,33.4478,14.63,90,100,13.94,RU,1724638817
